Country Name,Country Code,Area(sq km),Languages,Life expectancy,President
Algeria,DZA,"2,381,741","Arabic, Tamazight, French",75 years (men) 78 years (women),Abdelmadjid Tebboune
Angola,AGO,"1,246,700","Portuguese, Kimbundu, Umbundu, Chokwe, Kikongo",60 years (men) 65 years (women),Joao Lourenco
Benin,BEN,"114,763","French, Fon, Yom, Yoruba, Gun, Baatonum, Biali, Dendi, Fulfulde",60 years (men) 63 years (women),Patrice Talon
Botswana,BWA,"581,730","English, Setswana",66 years (men) 72 years (women),Mokgweetsi Masisi
Burkina Faso,BFA,"274,200","French, Mossi, Bissa, Dyula, Fula",61 years (men) 62 years (women), Ibrahim Traore
Burundi,BDI,"27,834","Kirundi, French, English",62 years (men and women),Evariste Ndayishimiye
Cabo Verde,CPV,"4,033","Portuguese, Cape Verdean Creole",69 years (men) 77 years (women),Jose Maria Neves
Cameroon,CMR,"475,442","French, English, Cameroonian Pidgin English, Fula, Ewondo, Chadian Arabic, Camfranglais",59 years (men) 63 years (women),Paul Biya
Central African Republic,CAF,"622,984","French, Sango",53 years (men) 57 years (women),Faustin-Archange Touadera
Chad,TCD,"1,284,000","French, Arabic",51 years (men) 54 years (women),General Mahamat Idriss Déby Itno
Comoros,COM,"1,861","Comorian, French, Arabic",62 years (men) 67 years (women),Azali Assoumani
"Congo, Dem. Rep.",COD,"2,345,409","French, Kituba, Lingala, Swahili, Tshiluba",59 years (men) 62 years (women),Félix Tshisekedi
"Congo, Rep.",COG,"342,000","French, Lingala, Kituba",62 years (men) 67 years (women),Denis Sassou Nguesso
Cote d'Ivoire,CIV,"322,463","French, Bété, Jula, Baule, Abron, Anyin, Cebaara Senufo and others",62 years (men) 65 years (women),Alassane Ouattara
Djibouti,DJI,"23,200","Arabic, French, Somali, Afar",65 years (men) 69 years (women),Ismail Omar Guelleh
"Egypt, Arab Rep.",EGY,"1,010,408",Arabic,69 years (men) 74 years (women),Abdel Fattah al-Sisi
Equatorial Guinea,GNQ,"28,050","Spanish, French, Portuguese",59 years (men) 63 years (women),Teodoro Obiang Nguema
Eritrea,ERI,"117,600","Tigrinya, Tigre, Arabic, English, Beja, Kunama, Saho, Bilen, Nara, Afar",64 years (men) 68 years (women),Isaias Afwerki
Eswatini,SWZ,"17,364","Swazi, English",56 years (men) 64 years (women),Mswati III (King)
Ethiopia,ETH,"1,104,300","Afar, Amharic, Oromo, Somali, Tigrinya",65 years (men) 68 years (women),Sahle-Work Zewde
Gabon,GAB,"267,667",French,64 years (men) 69 years (women),General Brice Oligui Nguema
"Gambia, The",GMB,"11,300",English,61 years (men) 64 years (women),Adama Barrow
Ghana,GHA,"238,535","English, Dagaare, Dagbanli, Dangme, Ewe, Frafra, Ga, Gonja, Nzema, Twi, Fante",63 years (men) 65 years (women),Nana Akufo-Addo
Guinea,GIN,"245,857","French, Arabic, English, Susu, Pular, Maninka and others",61 years (men) 62 years (women),Mamady Doumbouya
Guinea-Bissau,GNB,"36,125","Portuguese, Guinea-Bissau Creole, plus English, French, Arabic, Fula, Mandinka and others",61 years (men) 65 years (women),Umaro Sissoco Embaló
Kenya,KEN,"580,367","Swahili, English",64 years (men) 69 years (women),William Ruto
Lesotho,LSO,"30,355","Sesotho, English",51 years (men) 57 years (women),Sam Matekane (Prime minister)
Liberia,LBR,"111,370",English,59 years (men) 62 years (women),Joseph Boakai
Libya,LBY,"1,759,541",Arabic,70 years (men) 75 years (women),Abdul Hamid Dbeibeh (Prime Minister)
Madagascar,MDG,"587,041","Malagasy, French",63 years (men) 68 years (women),Andry Rajoelina
Malawi,MWI,"118,484","English, plus Chewa, Lambya, Lomwe, Ngoni, Nyakyusa, Nyanja, Sena, Tonga, Tumbuka, Yao",60 years (men) 67 years (women),Lazarus Chakwera
Mali,MLI,"1,240,192","French, Bambara, Dogon, Fulfulde, Manding, Arabic, Tuareg",57 years (men) 59 years (women),Assimi Goïta (Interim head of state)
