Country,ISO-3166 (Two Letter),ISO-3166 (Three Letter),ISO-3166 (Numeric)
Algeria,DZ,DZA,12
Angola,AO,AGO,24
Benin,BJ,BEN,204
Botswana,BW,BWA,72
Burkina Faso,BF,BFA,854
Burundi,BI,BDI,108
Cameroon,CM,CMR,120
Cape Verde,CV,CPV,132
Central African Republic,CF,CAF,140
Chad,TD,TCD,148
Comoros,KM,COM,174
Democratic Republic Of The Congo,CD,COD,180
Djibouti,DJ,DJI,262
Egypt,EG,EGY,818
Equatorial Guinea,GQ,GNQ,226
Eritrea,ER,ERI,232
Ethiopia,ET,ETH,231
Gabon,GA,GAB,266
Gambia,GM,GMB,270
Ghana,GH,GHA,288
Guinea,GN,GIN,324
Guinea-Bissau,GW,GNB,624
Ivory Coast,CI,CIV,384
Kenya,KE,KEN,404
Lesotho,LS,LSO,426
Liberia,LR,LBR,430
Libya,LY,LBY,434
Madagascar,MG,MDG,450
Malawi,MW,MWI,454
Mali,ML,MLI,466
Mauritania,MR,MRT,478
Mauritius,MU,MUS,480
Morocco,MA,MAR,504
Mozambique,MZ,MOZ,508
Namibia,NA,NAM,516
Niger,NE,NER,562
Nigeria,NG,NGA,566
Republic Of The Congo,CG,COG,178
Rwanda,RW,RWA,646
Sao Tome And Principe,ST,STP,678
Senegal,SN,SEN,686
Seychelles,SC,SYC,690
Sierra Leone,SL,SLE,694
Somalia,SO,SOM,706
South Africa,ZA,ZAF,710
South Sudan,SS,SSD,728
Sudan,SD,SDN,729
Swaziland,SZ,SWZ,748
Tanzania,TZ,TZA,834
Togo,TG,TGO,768
Tunisia,TN,TUN,788
Uganda,UG,UGA,800
Zambia,ZM,ZMB,894
Zimbabwe,ZW,ZWE,716
